r,v,nh,n,u,nt,p,e,nd,m,d,i,wp,a,句子数,停顿数,句子破碎度,Success
1.795037756,5.071197411,0.663430421,4.341963323,2.656957929,0.167206041,4.36785329,0.021574973,0.355987055,0.675296656,2.565264293,0.180151025,3.760517799,0.844660194,927,2899,3.127292341,succ
1.000987167,3.812438302,0.330700888,4.02171767,1.63869694,0.328726555,3.473840079,0.01875617,0.330700888,0.659427443,1.82230997,0.10266535,2.874629812,0.6011846,2026,4410,2.176702863,unsucc
1.547770701,4.364649682,0.984076433,4.063694268,2.079617834,0.133757962,4.401273885,0.038216561,0.461783439,0.527070064,2.192675159,0.162420382,3.753184713,0.74044586,1256,3456,2.751592357,unsucc
1.107442641,3.250699496,0.233351987,3.754896475,1.769445999,0.13654169,3.072188025,0.021824287,0.344711807,0.587576945,1.613878008,0.106883044,2.510912143,0.650251819,3574,7232,2.023503078,unsucc
1.268072289,4.641566265,0.581325301,4.746987952,2.201807229,0.102409639,3.697289157,0.016566265,0.459337349,0.718373494,2.138554217,0.134036145,2.956325301,0.862951807,664,1642,2.472891566,succ
1.029513889,3.104166667,0.324652778,2.899305556,1.644097222,0.086805556,3.935763889,0.083333333,0.210069444,0.621527778,1.402777778,0.112847222,3.588541667,0.503472222,1152,2672,2.319444444,unsucc
1.402843602,5.722748815,0.822274882,6.796208531,2.120853081,0.239336493,6.36492891,0.011848341,0.502369668,0.883886256,2.831753555,0.319905213,5.590047393,0.827014218,844,3980,4.71563981,unsucc
2.267782427,8.012552301,0.566945607,6.983263598,3.458158996,0.654811715,6.131799163,0.027196653,0.654811715,0.935146444,3.539748954,0.246861925,5.138075314,1.19874477,956,3606,3.771966527,unsucc
2.092885375,6.671936759,0.494071146,5.600790514,2.586956522,0.276679842,5.171936759,0.013833992,0.786561265,1.148221344,4.454545455,0.227272727,4.318181818,1.464426877,506,1918,3.790513834,succ
1.407158837,4.422818792,0.390380313,3.810961969,1.973154362,0.142058166,4.225950783,0.015659955,0.222595078,0.631991051,2.062639821,0.174496644,3.81655481,0.931767338,894,2748,3.073825503,succ
1.531620553,5.409090909,1.043478261,6.201581028,2.916996047,0.217391304,4.948616601,0.0256917,0.638339921,0.824110672,2.628458498,0.150197628,4.067193676,0.826086957,506,1686,3.33201581,succ
1.421052632,4.848225214,0.312117503,4.222766218,2.788249694,0.198286414,3.576499388,0.00244798,0.419828641,0.544675643,2.407588739,0.189718482,2.837209302,1.011015912,1634,3968,2.428396573,unsucc
1.944444444,4.765432099,0.058641975,3.99382716,2.419753086,0.226851852,4.25617284,0.027777778,0.450617284,0.788580247,2.558641975,0.157407407,3.459876543,1.00617284,648,1805,2.785493827,succ
1.140988372,4.19622093,0.622093023,4.686046512,1.805232558,0.216569767,4.11627907,0.033430233,0.485465116,0.626453488,2.207848837,0.190406977,3.60755814,0.622093023,688,2014,2.927325581,succ
1.853146853,5.269230769,0.486013986,4.526223776,2.632867133,0.166083916,4.676573427,0.036713287,0.449300699,0.659090909,2.798951049,0.183566434,3.947552448,0.980769231,572,1689,2.952797203,succ
1.058823529,3.872340426,0.501877347,3.683354193,1.768460576,0.133917397,3.695869837,0.005006258,0.327909887,0.733416771,2.181476846,0.117647059,3.19649562,0.787234043,799,2143,2.682102628,succ
1.350985222,4.663793103,0.694581281,5.74137931,2.433497537,0.153940887,4.533251232,0.034482759,0.516009852,0.972906404,2.428571429,0.181034483,3.849753695,1.078817734,812,2566,3.160098522,succ
1.967935872,6.186372745,0.691382766,6.703406814,2.913827655,0.220440882,6.128256513,0.006012024,0.619238477,1.112224449,2.729458918,0.184368737,5.25250501,1.04008016,998,3842,3.849699399,unsucc
2.036363636,5.920454545,0.859090909,5.713636364,3.168181818,0.202272727,5.875,0.022727273,0.579545455,1.097727273,3.243181818,0.259090909,4.988636364,1.172727273,440,1896,4.309090909,succ
0.762443439,3.475113122,0.117647059,3.773755656,1.70361991,0.178733032,3.85520362,0.027149321,0.371040724,0.536199095,1.676470588,0.165158371,3.35520362,0.692307692,884,2092,2.366515837,unsucc
1.886107635,5.501877347,0.958698373,4.59824781,2.143929912,0.177722153,5.145181477,0.027534418,0.265331665,1.055068836,2.660826033,0.214017522,4.563204005,1.085106383,799,3109,3.891113892,succ
